Time, DR, DN, RN, Euclidian
1360.000, 1.64, 0.879, 1.362, 2.305
1370.000, 1.553, 0.9, 1.239, 2.181
1380.000, 1.61, 0.891, 1.311, 2.259
1390.000, 1.586, 0.853, 1.316, 2.230
1400.000, 1.598, 0.905, 1.318, 2.260
1410.000, 1.568, 0.841, 1.318, 2.214
1420.000, 1.587, 0.856, 1.289, 2.216
1430.000, 1.629, 0.897, 1.268, 2.250
1440.000, 1.632, 0.914, 1.295, 2.275
1450.000, 1.591, 0.874, 1.304, 2.235
1460.000, 1.597, 0.916, 1.289, 2.247
1470.000, 1.587, 0.885, 1.283, 2.224
1480.000, 1.598, 0.851, 1.32, 2.240
1490.000, 1.667, 0.9, 1.343, 2.322
1500.000, 1.622, 0.875, 1.29, 2.249
1510.000, 1.636, 0.903, 1.328, 2.292
1520.000, 1.575, 0.896, 1.275, 2.215
1530.000, 1.597, 0.853, 1.302, 2.230
1540.000, 1.577, 0.902, 1.288, 2.226
1550.000, 1.596, 0.891, 1.311, 2.249
1560.000, 1.547, 0.863, 1.285, 2.188
1570.000, 1.578, 0.888, 1.327, 2.244
1580.000, 1.538, 0.898, 1.239, 2.169
1590.000, 1.542, 0.858, 1.281, 2.180
1600.000, 1.601, 0.901, 1.272, 2.234
1610.000, 1.573, 0.903, 1.271, 2.214
1620.000, 1.566, 0.881, 1.323, 2.231
1630.000, 1.553, 0.892, 1.262, 2.190
1640.000, 1.583, 0.885, 1.291, 2.226
1650.000, 1.596, 0.907, 1.335, 2.269
1660.000, 1.594, 0.879, 1.305, 2.239
1670.000, 1.63, 0.928, 1.328, 2.298
1680.000, 1.565, 0.9, 1.292, 2.220
1690.000, 1.589, 0.896, 1.258, 2.215
1700.000, 1.585, 0.871, 1.336, 2.248
1710.000, 1.588, 0.93, 1.27, 2.235
1720.000, 1.555, 0.89, 1.258, 2.189
1730.000, 1.562, 0.913, 1.269, 2.209
1740.000, 1.558, 0.906, 1.261, 2.199
1750.000, 1.571, 0.919, 1.296, 2.234
1760.000, 1.595, 0.884, 1.294, 2.236
1770.000, 1.595, 0.888, 1.276, 2.227
1780.000, 1.603, 0.884, 1.298, 2.244
1790.000, 1.548, 0.899, 1.298, 2.211
1800.000, 1.568, 0.884, 1.277, 2.206
