Time, DR, DN, RN, Euclidian
1.380, 1.457, 0.807, 1.262, 2.089
1.390, 1.479, 0.778, 1.315, 2.126
1.400, 1.489, 0.778, 1.292, 2.119
1.410, 1.453, 0.786, 1.304, 2.104
1.420, 1.481, 0.815, 1.273, 2.116
1.430, 1.507, 0.777, 1.348, 2.166
1.440, 1.528, 0.78, 1.33, 2.170
1.450, 1.524, 0.81, 1.337, 2.183
1.460, 1.492, 0.814, 1.35, 2.170
1.470, 1.55, 0.792, 1.384, 2.223
1.480, 1.555, 0.811, 1.338, 2.205
1.490, 1.538, 0.828, 1.389, 2.231
1.500, 1.466, 0.797, 1.306, 2.118
1.510, 1.514, 0.81, 1.345, 2.181
1.520, 1.572, 0.791, 1.305, 2.190
1.530, 1.578, 0.773, 1.331, 2.204
1.540, 1.539, 0.776, 1.382, 2.209
1.550, 1.584, 0.812, 1.343, 2.229
1.560, 1.528, 0.804, 1.366, 2.201
1.570, 1.519, 0.829, 1.337, 2.186
1.580, 1.465, 0.794, 1.31, 2.119
1.590, 1.466, 0.775, 1.363, 2.146
1.600, 1.498, 0.737, 1.331, 2.135
1.610, 1.423, 0.815, 1.337, 2.115
1.620, 1.479, 0.782, 1.297, 2.116
1.630, 1.425, 0.822, 1.321, 2.109
1.640, 1.475, 0.857, 1.311, 2.151
1.650, 1.447, 0.815, 1.345, 2.137
1.660, 1.463, 0.793, 1.373, 2.157
1.670, 1.426, 0.8, 1.299, 2.088
1.680, 1.545, 0.873, 1.39, 2.254
1.690, 1.454, 0.775, 1.332, 2.118
1.700, 1.443, 0.814, 1.298, 2.104
1.710, 1.401, 0.807, 1.255, 2.046
1.720, 1.429, 0.813, 1.285, 2.086
1.730, 1.406, 0.787, 1.264, 2.047
1.740, 1.428, 0.827, 1.26, 2.076
1.750, 1.466, 0.81, 1.307, 2.124
1.760, 1.41, 0.781, 1.256, 2.043
1.770, 1.499, 0.826, 1.352, 2.181
1.780, 1.399, 0.821, 1.259, 2.053
1.790, 1.451, 0.819, 1.274, 2.097
1.800, 1.522, 0.806, 1.295, 2.154
1.810, 1.432, 0.773, 1.309, 2.088
1.820, 1.469, 0.797, 1.317, 2.127
1.830, 1.453, 0.785, 1.342, 2.128
1.840, 1.416, 0.823, 1.278, 2.077
1.850, 1.485, 0.784, 1.313, 2.131
1.860, 1.437, 0.795, 1.31, 2.100
1.870, 1.474, 0.779, 1.275, 2.098
1.880, 1.497, 0.772, 1.352, 2.159
1.890, 1.502, 0.798, 1.36, 2.177
1.900, 1.422, 0.794, 1.305, 2.086
1.910, 1.445, 0.828, 1.26, 2.088
1.920, 1.432, 0.799, 1.29, 2.086
1.930, 1.408, 0.749, 1.239, 2.019
1.940, 1.424, 0.803, 1.301, 2.089
1.950, 1.451, 0.836, 1.331, 2.139
1.960, 1.423, 0.817, 1.329, 2.111
1.970, 1.414, 0.832, 1.293, 2.088
1.980, 1.481, 0.802, 1.322, 2.141
1.990, 1.457, 0.826, 1.298, 2.118
2.000, 1.468, 0.853, 1.286, 2.129
2.010, 1.524, 0.85, 1.347, 2.204
2.020, 1.412, 0.856, 1.315, 2.110
2.030, 1.459, 0.795, 1.31, 2.115
2.040, 1.426, 0.843, 1.31, 2.111
2.050, 1.422, 0.86, 1.336, 2.132
2.060, 1.428, 0.846, 1.292, 2.103
2.070, 1.365, 0.849, 1.243, 2.032
2.080, 1.378, 0.859, 1.299, 2.079
2.090, 1.457, 0.831, 1.271, 2.104
2.100, 1.492, 0.766, 1.273, 2.105
2.110, 1.41, 0.831, 1.249, 2.058
2.120, 1.429, 0.745, 1.272, 2.053
2.130, 1.452, 0.788, 1.315, 2.111
2.140, 1.462, 0.817, 1.275, 2.104
2.150, 1.415, 0.77, 1.28, 2.057
2.160, 1.423, 0.838, 1.266, 2.080
2.170, 1.422, 0.769, 1.31, 2.080
2.180, 1.459, 0.802, 1.311, 2.119
2.190, 1.438, 0.797, 1.315, 2.105
2.200, 1.453, 0.83, 1.288, 2.111
2.210, 1.357, 0.828, 1.231, 2.010
2.220, 1.448, 0.828, 1.269, 2.095
2.230, 1.451, 0.856, 1.26, 2.103
2.240, 1.428, 0.842, 1.24, 2.070
2.250, 1.477, 0.806, 1.32, 2.138
2.260, 1.416, 0.779, 1.244, 2.039
2.270, 1.462, 0.793, 1.279, 2.098
2.280, 1.422, 0.785, 1.249, 2.048
2.290, 1.416, 0.839, 1.248, 2.065
2.300, 1.406, 0.78, 1.288, 2.060
2.310, 1.411, 0.761, 1.28, 2.051
2.320, 1.428, 0.772, 1.231, 2.037
2.330, 1.443, 0.812, 1.271, 2.087
2.340, 1.436, 0.822, 1.305, 2.107
2.350, 1.413, 0.76, 1.185, 1.994
2.360, 1.416, 0.785, 1.278, 2.062
2.370, 1.411, 0.812, 1.318, 2.094
2.380, 1.455, 0.84, 1.318, 2.135
2.390, 1.412, 0.831, 1.317, 2.102
2.400, 1.477, 0.86, 1.334, 2.168
2.410, 1.444, 0.848, 1.273, 2.103
2.420, 1.45, 0.863, 1.276, 2.115
2.430, 1.433, 0.856, 1.279, 2.102
2.440, 1.518, 0.849, 1.266, 2.151
2.450, 1.475, 0.857, 1.295, 2.141
2.460, 1.481, 0.849, 1.344, 2.172
2.470, 1.438, 0.877, 1.27, 2.109
2.480, 1.4, 0.885, 1.234, 2.065
2.490, 1.379, 0.833, 1.233, 2.028
2.500, 1.406, 0.837, 1.274, 2.073
2.510, 1.415, 0.863, 1.234, 2.066
2.520, 1.421, 0.849, 1.235, 2.065
2.530, 1.476, 0.843, 1.282, 2.129
2.540, 1.374, 0.857, 1.253, 2.047
2.550, 1.491, 0.801, 1.315, 2.143
2.560, 1.451, 0.835, 1.315, 2.128
2.570, 1.457, 0.855, 1.282, 2.120
2.580, 1.478, 0.86, 1.26, 2.124
2.590, 1.47, 0.83, 1.247, 2.098
2.600, 1.438, 0.84, 1.266, 2.091
2.610, 1.415, 0.859, 1.252, 2.075
2.620, 1.438, 0.877, 1.199, 2.067
2.630, 1.427, 0.84, 1.264, 2.083
2.640, 1.428, 0.846, 1.265, 2.086
2.650, 1.481, 0.857, 1.278, 2.135
2.660, 1.476, 0.866, 1.235, 2.110
2.670, 1.447, 0.857, 1.257, 2.099
2.680, 1.435, 0.842, 1.271, 2.093
2.690, 1.402, 0.873, 1.251, 2.071
2.700, 1.437, 0.899, 1.27, 2.118
2.710, 1.452, 0.829, 1.287, 2.109
2.720, 1.447, 0.872, 1.229, 2.089
2.730, 1.52, 0.835, 1.32, 2.179
2.740, 1.431, 0.862, 1.196, 2.054
2.750, 1.516, 0.872, 1.261, 2.156
2.760, 1.478, 0.867, 1.278, 2.137
2.770, 1.467, 0.871, 1.266, 2.124
2.780, 1.48, 0.857, 1.287, 2.140
2.790, 1.522, 0.845, 1.297, 2.170
2.800, 1.448, 0.88, 1.261, 2.112
2.810, 1.415, 0.923, 1.214, 2.080
2.820, 1.451, 0.886, 1.284, 2.130
2.830, 1.417, 0.912, 1.246, 2.095
2.840, 1.445, 0.867, 1.283, 2.117
2.850, 1.417, 0.906, 1.271, 2.108
2.860, 1.424, 0.87, 1.273, 2.098
2.870, 1.373, 0.873, 1.257, 2.056
2.880, 1.443, 0.934, 1.287, 2.147
2.890, 1.411, 0.9, 1.247, 2.087
2.900, 1.415, 0.875, 1.242, 2.076
2.910, 1.481, 0.873, 1.253, 2.127
2.920, 1.451, 0.868, 1.278, 2.119
2.930, 1.44, 0.872, 1.219, 2.078
2.940, 1.431, 0.83, 1.223, 2.057
2.950, 1.418, 0.841, 1.245, 2.065
2.960, 1.439, 0.831, 1.265, 2.088
2.970, 1.38, 0.817, 1.231, 2.021
2.980, 1.411, 0.85, 1.318, 2.109
2.990, 1.423, 0.852, 1.268, 2.087
3.000, 1.454, 0.879, 1.215, 2.088
3.010, 1.395, 0.892, 1.252, 2.075
