Time, DR, DN, RN, Euclidian
1.380, 1.675, 0.836, 1.418, 2.348
1.390, 1.619, 0.801, 1.417, 2.295
1.400, 1.571, 0.773, 1.401, 2.242
1.410, 1.638, 0.741, 1.452, 2.310
1.420, 1.619, 0.797, 1.429, 2.301
1.430, 1.596, 0.795, 1.431, 2.286
1.440, 1.643, 0.813, 1.404, 2.309
1.450, 1.668, 0.791, 1.429, 2.334
1.460, 1.639, 0.814, 1.434, 2.324
1.470, 1.613, 0.785, 1.386, 2.266
1.480, 1.633, 0.808, 1.42, 2.309
1.490, 1.602, 0.795, 1.446, 2.299
1.500, 1.594, 0.802, 1.4, 2.268
1.510, 1.589, 0.82, 1.398, 2.269
1.520, 1.575, 0.809, 1.383, 2.246
1.530, 1.608, 0.8, 1.397, 2.275
1.540, 1.614, 0.792, 1.43, 2.297
1.550, 1.597, 0.806, 1.409, 2.277
1.560, 1.679, 0.773, 1.497, 2.378
1.570, 1.658, 0.799, 1.484, 2.364
1.580, 1.621, 0.779, 1.397, 2.277
1.590, 1.665, 0.772, 1.437, 2.330
1.600, 1.614, 0.826, 1.416, 2.300
1.610, 1.59, 0.783, 1.436, 2.281
1.620, 1.592, 0.811, 1.431, 2.289
1.630, 1.6, 0.821, 1.402, 2.280
1.640, 1.606, 0.781, 1.417, 2.279
1.650, 1.623, 0.791, 1.415, 2.293
1.660, 1.615, 0.814, 1.419, 2.298
1.670, 1.597, 0.799, 1.39, 2.262
1.680, 1.582, 0.81, 1.388, 2.255
1.690, 1.578, 0.786, 1.403, 2.253
1.700, 1.616, 0.806, 1.412, 2.292
1.710, 1.604, 0.812, 1.435, 2.300
1.720, 1.613, 0.798, 1.387, 2.272
1.730, 1.629, 0.804, 1.386, 2.284
1.740, 1.66, 0.819, 1.381, 2.309
1.750, 1.614, 0.786, 1.407, 2.280
1.760, 1.634, 0.821, 1.431, 2.322
1.770, 1.58, 0.8, 1.407, 2.261
1.780, 1.607, 0.786, 1.408, 2.276
1.790, 1.592, 0.777, 1.394, 2.254
1.800, 1.631, 0.775, 1.43, 2.303
1.810, 1.616, 0.826, 1.454, 2.325
1.820, 1.624, 0.8, 1.425, 2.303
1.830, 1.632, 0.816, 1.455, 2.333
1.840, 1.605, 0.788, 1.399, 2.270
1.850, 1.596, 0.806, 1.417, 2.281
1.860, 1.59, 0.815, 1.417, 2.280
1.870, 1.608, 0.815, 1.421, 2.295
1.880, 1.6, 0.793, 1.404, 2.271
1.890, 1.623, 0.765, 1.439, 2.300
1.900, 1.594, 0.817, 1.387, 2.265
1.910, 1.621, 0.794, 1.398, 2.283
1.920, 1.57, 0.784, 1.395, 2.241
1.930, 1.568, 0.796, 1.395, 2.244
