Time, DR, DN, RN, Euclidian
1360.000, 1.575, 0.815, 1.383, 2.248
1370.000, 1.58, 0.841, 1.385, 2.263
1380.000, 1.591, 0.805, 1.396, 2.264
1390.000, 1.57, 0.819, 1.361, 2.233
1400.000, 1.586, 0.819, 1.397, 2.266
1410.000, 1.555, 0.797, 1.423, 2.253
1420.000, 1.553, 0.828, 1.371, 2.230
1430.000, 1.597, 0.836, 1.414, 2.291
1440.000, 1.561, 0.803, 1.394, 2.241
1450.000, 1.58, 0.8, 1.393, 2.253
1460.000, 1.582, 0.809, 1.392, 2.257
1470.000, 1.554, 0.824, 1.384, 2.238
1480.000, 1.584, 0.845, 1.375, 2.261
1490.000, 1.582, 0.804, 1.403, 2.262
1500.000, 1.522, 0.812, 1.39, 2.215
1510.000, 1.548, 0.853, 1.385, 2.245
1520.000, 1.56, 0.794, 1.37, 2.222
1530.000, 1.609, 0.816, 1.382, 2.272
1540.000, 1.575, 0.845, 1.36, 2.245
1550.000, 1.533, 0.833, 1.391, 2.231
1560.000, 1.566, 0.798, 1.413, 2.255
1570.000, 1.555, 0.764, 1.401, 2.228
1580.000, 1.563, 0.77, 1.389, 2.228
1590.000, 1.558, 0.793, 1.351, 2.209
1600.000, 1.557, 0.828, 1.371, 2.233
1610.000, 1.545, 0.82, 1.377, 2.226
1620.000, 1.549, 0.795, 1.371, 2.216
1630.000, 1.559, 0.817, 1.348, 2.216
1640.000, 1.562, 0.814, 1.378, 2.236
1650.000, 1.542, 0.786, 1.339, 2.188
1660.000, 1.572, 0.795, 1.397, 2.248
1670.000, 1.532, 0.835, 1.353, 2.207
1680.000, 1.561, 0.816, 1.377, 2.235
1690.000, 1.545, 0.802, 1.315, 2.181
1700.000, 1.565, 0.803, 1.354, 2.219
1710.000, 1.584, 0.804, 1.389, 2.254
1720.000, 1.563, 0.811, 1.378, 2.235
1730.000, 1.607, 0.82, 1.39, 2.277
1740.000, 1.618, 0.8, 1.387, 2.276
1750.000, 1.575, 0.776, 1.403, 2.247
1760.000, 1.544, 0.795, 1.379, 2.217
1770.000, 1.586, 0.825, 1.4, 2.270
1780.000, 1.595, 0.802, 1.409, 2.274
1790.000, 1.577, 0.819, 1.414, 2.270
1800.000, 1.542, 0.811, 1.336, 2.195
1810.000, 1.56, 0.782, 1.384, 2.227
1820.000, 1.532, 0.82, 1.321, 2.182
1830.000, 1.524, 0.825, 1.384, 2.217
1840.000, 1.577, 0.823, 1.391, 2.258
1850.000, 1.55, 0.792, 1.371, 2.215
1860.000, 1.592, 0.814, 1.356, 2.244
1870.000, 1.573, 0.808, 1.336, 2.216
1880.000, 1.543, 0.796, 1.362, 2.206
1890.000, 1.544, 0.825, 1.366, 2.220
1900.000, 1.56, 0.813, 1.366, 2.227
1910.000, 1.573, 0.804, 1.383, 2.243
1920.000, 1.535, 0.826, 1.394, 2.231
1930.000, 1.601, 0.804, 1.404, 2.276
1940.000, 1.542, 0.794, 1.342, 2.192
1950.000, 1.558, 0.811, 1.401, 2.246
1960.000, 1.509, 0.792, 1.337, 2.166
1970.000, 1.59, 0.817, 1.41, 2.276
1980.000, 1.543, 0.845, 1.421, 2.261
1990.000, 1.549, 0.863, 1.415, 2.268
2000.000, 1.574, 0.845, 1.4, 2.269
2010.000, 1.547, 0.754, 1.392, 2.213
2020.000, 1.59, 0.869, 1.434, 2.310
2030.000, 1.599, 0.85, 1.395, 2.285
2040.000, 1.583, 0.807, 1.382, 2.251
2050.000, 1.548, 0.832, 1.404, 2.249
2060.000, 1.543, 0.824, 1.31, 2.185
2070.000, 1.527, 0.818, 1.34, 2.190
2080.000, 1.545, 0.848, 1.303, 2.191
2090.000, 1.53, 0.806, 1.349, 2.193
2100.000, 1.605, 0.814, 1.366, 2.259
2110.000, 1.585, 0.827, 1.365, 2.249
2120.000, 1.555, 0.813, 1.382, 2.233
2130.000, 1.534, 0.806, 1.362, 2.204
2140.000, 1.607, 0.822, 1.359, 2.259
2150.000, 1.567, 0.803, 1.354, 2.221
2160.000, 1.609, 0.829, 1.371, 2.270
2170.000, 1.571, 0.807, 1.38, 2.241
2180.000, 1.586, 0.82, 1.302, 2.209
2190.000, 1.534, 0.832, 1.354, 2.208
2200.000, 1.562, 0.818, 1.345, 2.217
2210.000, 1.562, 0.831, 1.366, 2.235
2220.000, 1.518, 0.835, 1.322, 2.179
2230.000, 1.501, 0.884, 1.329, 2.191
2240.000, 1.547, 0.845, 1.397, 2.249
2250.000, 1.53, 0.823, 1.374, 2.214
2260.000, 1.527, 0.842, 1.419, 2.248
2270.000, 1.574, 0.807, 1.403, 2.257
2280.000, 1.549, 0.835, 1.335, 2.208
2290.000, 1.58, 0.818, 1.381, 2.252
2300.000, 1.518, 0.818, 1.352, 2.191
2310.000, 1.555, 0.792, 1.384, 2.227
2320.000, 1.555, 0.828, 1.401, 2.250
2330.000, 1.531, 0.815, 1.388, 2.221
2340.000, 1.559, 0.823, 1.375, 2.235
2350.000, 1.639, 0.82, 1.407, 2.310
2360.000, 1.629, 0.817, 1.359, 2.273
2370.000, 1.601, 0.855, 1.43, 2.310
2380.000, 1.593, 0.854, 1.409, 2.291
2390.000, 1.569, 0.811, 1.366, 2.232
2400.000, 1.572, 0.85, 1.409, 2.275
2410.000, 1.589, 0.86, 1.364, 2.263
2420.000, 1.597, 0.846, 1.364, 2.264
2430.000, 1.573, 0.854, 1.344, 2.238
2440.000, 1.581, 0.833, 1.344, 2.236
2450.000, 1.613, 0.872, 1.404, 2.309
2460.000, 1.571, 0.832, 1.35, 2.232
2470.000, 1.559, 0.844, 1.372, 2.241
2480.000, 1.569, 0.878, 1.375, 2.263
2490.000, 1.599, 0.853, 1.372, 2.273
2500.000, 1.579, 0.806, 1.398, 2.257
2510.000, 1.605, 0.837, 1.407, 2.292
2520.000, 1.602, 0.823, 1.358, 2.255
2530.000, 1.524, 0.814, 1.407, 2.228
