Time, DR, DN, RN, Euclidian
1.380, 1.478, 0.801, 1.293, 2.120
1.390, 1.513, 0.82, 1.317, 2.167
1.400, 1.45, 0.779, 1.299, 2.096
1.410, 1.512, 0.797, 1.305, 2.150
1.420, 1.536, 0.798, 1.276, 2.150
1.430, 1.535, 0.804, 1.348, 2.195
1.440, 1.527, 0.812, 1.309, 2.168
1.450, 1.561, 0.813, 1.333, 2.207
1.460, 1.526, 0.813, 1.265, 2.142
1.470, 1.512, 0.803, 1.339, 2.173
1.480, 1.565, 0.817, 1.382, 2.242
1.490, 1.472, 0.79, 1.331, 2.135
1.500, 1.489, 0.767, 1.3, 2.120
1.510, 1.471, 0.786, 1.322, 2.128
1.520, 1.471, 0.764, 1.289, 2.099
1.530, 1.421, 0.757, 1.324, 2.084
1.540, 1.449, 0.773, 1.275, 2.079
1.550, 1.44, 0.764, 1.33, 2.103
1.560, 1.481, 0.768, 1.332, 2.134
1.570, 1.498, 0.796, 1.301, 2.137
1.580, 1.505, 0.8, 1.33, 2.161
1.590, 1.499, 0.728, 1.319, 2.125
1.600, 1.519, 0.8, 1.317, 2.163
1.610, 1.496, 0.721, 1.28, 2.096
1.620, 1.542, 0.782, 1.333, 2.183
1.630, 1.497, 0.753, 1.32, 2.133
1.640, 1.504, 0.821, 1.325, 2.166
1.650, 1.482, 0.75, 1.299, 2.108
1.660, 1.495, 0.824, 1.361, 2.183
1.670, 1.498, 0.84, 1.327, 2.170
1.680, 1.555, 0.827, 1.334, 2.209
1.690, 1.528, 0.811, 1.334, 2.184
1.700, 1.529, 0.802, 1.372, 2.205
1.710, 1.478, 0.805, 1.312, 2.133
1.720, 1.546, 0.787, 1.363, 2.206
1.730, 1.54, 0.812, 1.313, 2.180
1.740, 1.529, 0.804, 1.33, 2.180
1.750, 1.447, 0.812, 1.341, 2.133
1.760, 1.495, 0.806, 1.294, 2.135
1.770, 1.532, 0.785, 1.32, 2.169
1.780, 1.481, 0.777, 1.282, 2.107
1.790, 1.443, 0.773, 1.278, 2.076
1.800, 1.46, 0.803, 1.225, 2.068
1.810, 1.471, 0.817, 1.263, 2.103
1.820, 1.522, 0.812, 1.263, 2.137
1.830, 1.486, 0.814, 1.246, 2.103
1.840, 1.5, 0.822, 1.243, 2.114
1.850, 1.489, 0.83, 1.232, 2.103
1.860, 1.473, 0.809, 1.247, 2.092
1.870, 1.462, 0.809, 1.285, 2.107
1.880, 1.481, 0.828, 1.288, 2.130
1.890, 1.42, 0.785, 1.251, 2.048
1.900, 1.395, 0.839, 1.264, 2.060
1.910, 1.429, 0.815, 1.208, 2.040
1.920, 1.431, 0.811, 1.276, 2.081
1.930, 1.414, 0.801, 1.298, 2.079
1.940, 1.417, 0.806, 1.268, 2.065
1.950, 1.461, 0.783, 1.274, 2.090
1.960, 1.43, 0.817, 1.256, 2.071
1.970, 1.445, 0.808, 1.287, 2.096
1.980, 1.459, 0.829, 1.269, 2.103
