Time, DR, DN, RN, Euclidian
4770.000, 1.542, 0.841, 1.272, 2.168
4780.000, 1.615, 0.83, 1.282, 2.222
4790.000, 1.626, 0.833, 1.335, 2.262
4800.000, 1.581, 0.858, 1.273, 2.203
4810.000, 1.621, 0.842, 1.339, 2.264
4820.000, 1.552, 0.8, 1.272, 2.160
4830.000, 1.59, 0.841, 1.326, 2.234
4840.000, 1.571, 0.85, 1.277, 2.195
4850.000, 1.581, 0.833, 1.309, 2.215
4860.000, 1.55, 0.868, 1.292, 2.196
4870.000, 1.611, 0.871, 1.33, 2.263
4880.000, 1.578, 0.831, 1.32, 2.218
4890.000, 1.564, 0.805, 1.287, 2.179
4900.000, 1.463, 0.824, 1.21, 2.069
4910.000, 1.534, 0.835, 1.277, 2.163
4920.000, 1.533, 0.827, 1.29, 2.167
4930.000, 1.539, 0.789, 1.308, 2.168
4940.000, 1.494, 0.846, 1.266, 2.133
4950.000, 1.549, 0.861, 1.295, 2.194
4960.000, 1.478, 0.813, 1.294, 2.126
4970.000, 1.497, 0.817, 1.286, 2.135
4980.000, 1.521, 0.849, 1.255, 2.146
4990.000, 1.498, 0.85, 1.295, 2.154
5000.000, 1.535, 0.867, 1.269, 2.172
5010.000, 1.552, 0.828, 1.263, 2.165
5020.000, 1.513, 0.853, 1.246, 2.137
5030.000, 1.543, 0.839, 1.31, 2.191
5040.000, 1.559, 0.833, 1.295, 2.191
5050.000, 1.496, 0.813, 1.284, 2.132
5060.000, 1.562, 0.793, 1.343, 2.207
5070.000, 1.551, 0.832, 1.29, 2.182
5080.000, 1.485, 0.809, 1.296, 2.130
5090.000, 1.54, 0.815, 1.266, 2.153
5100.000, 1.479, 0.814, 1.271, 2.113
5110.000, 1.492, 0.801, 1.301, 2.135
5120.000, 1.505, 0.783, 1.242, 2.102
5130.000, 1.492, 0.798, 1.274, 2.118
5140.000, 1.554, 0.853, 1.295, 2.195
5150.000, 1.543, 0.84, 1.3, 2.185
5160.000, 1.528, 0.814, 1.289, 2.158
5170.000, 1.544, 0.806, 1.275, 2.158
5180.000, 1.536, 0.825, 1.269, 2.156
5190.000, 1.55, 0.836, 1.292, 2.184
5200.000, 1.525, 0.868, 1.297, 2.182
5210.000, 1.519, 0.829, 1.304, 2.166
5220.000, 1.506, 0.848, 1.31, 2.168
5230.000, 1.495, 0.801, 1.273, 2.120
5240.000, 1.486, 0.811, 1.278, 2.121
5250.000, 1.513, 0.819, 1.27, 2.138
5260.000, 1.507, 0.853, 1.258, 2.140
5270.000, 1.481, 0.835, 1.249, 2.109
5280.000, 1.503, 0.798, 1.26, 2.117
5290.000, 1.46, 0.787, 1.236, 2.068
5300.000, 1.468, 0.825, 1.243, 2.093
5310.000, 1.508, 0.819, 1.296, 2.150
5320.000, 1.523, 0.821, 1.253, 2.136
5330.000, 1.526, 0.81, 1.301, 2.162
5340.000, 1.553, 0.845, 1.327, 2.210
5350.000, 1.536, 0.834, 1.283, 2.168
5360.000, 1.606, 0.827, 1.326, 2.240
5370.000, 1.519, 0.842, 1.223, 2.124
5380.000, 1.502, 0.784, 1.296, 2.133
5390.000, 1.497, 0.824, 1.253, 2.118
5400.000, 1.534, 0.836, 1.35, 2.207
5410.000, 1.506, 0.843, 1.288, 2.153
5420.000, 1.506, 0.832, 1.288, 2.149
5430.000, 1.462, 0.838, 1.257, 2.102
5440.000, 1.498, 0.816, 1.278, 2.131
5450.000, 1.502, 0.887, 1.294, 2.171
5460.000, 1.552, 0.838, 1.316, 2.200
5470.000, 1.506, 0.856, 1.31, 2.171
5480.000, 1.507, 0.855, 1.277, 2.152
5490.000, 1.525, 0.855, 1.284, 2.169
5500.000, 1.517, 0.842, 1.295, 2.165
5510.000, 1.515, 0.859, 1.289, 2.166
5520.000, 1.541, 0.817, 1.288, 2.168
5530.000, 1.527, 0.872, 1.312, 2.193
5540.000, 1.588, 0.83, 1.299, 2.213
5550.000, 1.54, 0.819, 1.282, 2.164
5560.000, 1.501, 0.788, 1.253, 2.108
5570.000, 1.498, 0.849, 1.264, 2.136
5580.000, 1.484, 0.862, 1.247, 2.121
5590.000, 1.511, 0.824, 1.261, 2.133
