Time, DR, DN, RN, Euclidian
1360.000, 1.568, 0.85, 1.66, 2.436
1370.000, 1.569, 0.831, 1.629, 2.409
1380.000, 1.603, 0.854, 1.642, 2.448
1390.000, 1.622, 0.837, 1.666, 2.471
1400.000, 1.612, 0.834, 1.648, 2.451
1410.000, 1.611, 0.868, 1.661, 2.471
1420.000, 1.589, 0.854, 1.69, 2.471
1430.000, 1.602, 0.859, 1.669, 2.467
1440.000, 1.62, 0.819, 1.606, 2.423
1450.000, 1.533, 0.841, 1.61, 2.376
1460.000, 1.607, 0.848, 1.622, 2.435
1470.000, 1.604, 0.818, 1.63, 2.428
1480.000, 1.595, 0.821, 1.645, 2.433
1490.000, 1.575, 0.897, 1.631, 2.438
1500.000, 1.563, 0.852, 1.636, 2.417
1510.000, 1.574, 0.86, 1.64, 2.430
1520.000, 1.505, 0.819, 1.581, 2.331
1530.000, 1.528, 0.831, 1.624, 2.379
1540.000, 1.563, 0.886, 1.62, 2.419
1550.000, 1.599, 0.844, 1.659, 2.453
1560.000, 1.589, 0.806, 1.669, 2.441
1570.000, 1.603, 0.836, 1.683, 2.470
1580.000, 1.538, 0.834, 1.651, 2.405
1590.000, 1.526, 0.838, 1.588, 2.356
1600.000, 1.538, 0.875, 1.585, 2.375
1610.000, 1.537, 0.835, 1.565, 2.347
1620.000, 1.539, 0.892, 1.606, 2.396
1630.000, 1.547, 0.844, 1.609, 2.386
1640.000, 1.607, 0.838, 1.664, 2.460
1650.000, 1.563, 0.894, 1.627, 2.426
1660.000, 1.539, 0.847, 1.618, 2.388
1670.000, 1.508, 0.872, 1.58, 2.351
1680.000, 1.578, 0.876, 1.659, 2.451
1690.000, 1.614, 0.879, 1.648, 2.468
1700.000, 1.529, 0.858, 1.599, 2.372
1710.000, 1.572, 0.857, 1.612, 2.409
1720.000, 1.572, 0.868, 1.615, 2.415
1730.000, 1.566, 0.834, 1.647, 2.420
1740.000, 1.544, 0.831, 1.629, 2.393
1750.000, 1.573, 0.841, 1.602, 2.397
1760.000, 1.54, 0.839, 1.619, 2.386
1770.000, 1.575, 0.84, 1.632, 2.418
1780.000, 1.561, 0.816, 1.697, 2.445
1790.000, 1.577, 0.839, 1.649, 2.431
1800.000, 1.559, 0.845, 1.612, 2.396
1810.000, 1.593, 0.862, 1.628, 2.435
1820.000, 1.57, 0.874, 1.681, 2.460
1830.000, 1.562, 0.838, 1.674, 2.438
1840.000, 1.563, 0.877, 1.66, 2.442
1850.000, 1.577, 0.857, 1.62, 2.417
1860.000, 1.594, 0.845, 1.657, 2.449
1870.000, 1.515, 0.889, 1.629, 2.395
1880.000, 1.524, 0.888, 1.611, 2.388
1890.000, 1.545, 0.865, 1.608, 2.391
1900.000, 1.536, 0.837, 1.634, 2.393
1910.000, 1.555, 0.835, 1.644, 2.412
1920.000, 1.564, 0.851, 1.669, 2.440
1930.000, 1.541, 0.874, 1.614, 2.396
1940.000, 1.559, 0.833, 1.602, 2.385
1950.000, 1.556, 0.822, 1.634, 2.401
1960.000, 1.57, 0.891, 1.623, 2.427
1970.000, 1.561, 0.866, 1.635, 2.420
1980.000, 1.535, 0.822, 1.622, 2.379
1990.000, 1.585, 0.852, 1.673, 2.457
2000.000, 1.559, 0.857, 1.657, 2.431
2010.000, 1.591, 0.835, 1.652, 2.440
2020.000, 1.562, 0.794, 1.651, 2.407
2030.000, 1.569, 0.869, 1.666, 2.447
2040.000, 1.555, 0.844, 1.597, 2.383
2050.000, 1.584, 0.838, 1.674, 2.452
