Time, DR, DN, RN, Euclidian
1.380, 1.545, 0.851, 1.286, 2.182
1.390, 1.519, 0.859, 1.225, 2.132
1.400, 1.504, 0.844, 1.281, 2.148
1.410, 1.522, 0.813, 1.282, 2.149
1.420, 1.562, 0.884, 1.29, 2.210
1.430, 1.58, 0.85, 1.309, 2.220
1.440, 1.566, 0.848, 1.289, 2.198
1.450, 1.538, 0.823, 1.29, 2.169
1.460, 1.583, 0.829, 1.317, 2.219
1.470, 1.57, 0.854, 1.279, 2.197
1.480, 1.537, 0.845, 1.215, 2.133
1.490, 1.603, 0.799, 1.34, 2.236
1.500, 1.578, 0.807, 1.276, 2.183
1.510, 1.605, 0.845, 1.311, 2.238
1.520, 1.595, 0.845, 1.33, 2.242
1.530, 1.581, 0.842, 1.269, 2.195
1.540, 1.524, 0.835, 1.246, 2.138
1.550, 1.529, 0.834, 1.242, 2.139
1.560, 1.533, 0.837, 1.292, 2.172
1.570, 1.541, 0.865, 1.265, 2.173
1.580, 1.567, 0.842, 1.313, 2.210
1.590, 1.575, 0.863, 1.295, 2.214
1.600, 1.569, 0.843, 1.272, 2.188
1.610, 1.548, 0.864, 1.267, 2.179
1.620, 1.572, 0.855, 1.315, 2.220
1.630, 1.598, 0.84, 1.346, 2.251
1.640, 1.538, 0.779, 1.311, 2.165
1.650, 1.571, 0.788, 1.33, 2.204
1.660, 1.551, 0.787, 1.343, 2.197
1.670, 1.562, 0.828, 1.296, 2.192
1.680, 1.544, 0.808, 1.303, 2.175
1.690, 1.537, 0.792, 1.289, 2.156
1.700, 1.543, 0.802, 1.258, 2.146
1.710, 1.563, 0.834, 1.261, 2.174
1.720, 1.538, 0.792, 1.263, 2.141
1.730, 1.594, 0.812, 1.277, 2.197
1.740, 1.57, 0.778, 1.277, 2.168
1.750, 1.585, 0.813, 1.258, 2.180
1.760, 1.55, 0.812, 1.278, 2.166
1.770, 1.546, 0.79, 1.312, 2.176
1.780, 1.566, 0.832, 1.277, 2.185
1.790, 1.568, 0.819, 1.296, 2.192
1.800, 1.52, 0.763, 1.331, 2.159
1.810, 1.565, 0.856, 1.292, 2.202
1.820, 1.541, 0.848, 1.244, 2.154
1.830, 1.581, 0.835, 1.304, 2.212
1.840, 1.582, 0.877, 1.288, 2.220
1.850, 1.539, 0.871, 1.258, 2.170
1.860, 1.567, 0.816, 1.265, 2.172
1.870, 1.565, 0.828, 1.258, 2.171
1.880, 1.526, 0.819, 1.265, 2.144
1.890, 1.544, 0.847, 1.258, 2.164
1.900, 1.524, 0.858, 1.183, 2.111
1.910, 1.509, 0.814, 1.216, 2.101
1.920, 1.546, 0.835, 1.245, 2.153
1.930, 1.535, 0.815, 1.235, 2.132
1.940, 1.55, 0.848, 1.272, 2.177
1.950, 1.498, 0.822, 1.247, 2.115
1.960, 1.552, 0.85, 1.22, 2.149
1.970, 1.546, 0.832, 1.211, 2.132
1.980, 1.525, 0.828, 1.247, 2.136
1.990, 1.554, 0.853, 1.262, 2.176
2.000, 1.613, 0.852, 1.274, 2.225
2.010, 1.605, 0.873, 1.276, 2.228
2.020, 1.606, 0.854, 1.248, 2.205
2.030, 1.61, 0.833, 1.261, 2.208
2.040, 1.591, 0.86, 1.248, 2.197
2.050, 1.568, 0.842, 1.198, 2.145
2.060, 1.567, 0.845, 1.25, 2.175
2.070, 1.594, 0.866, 1.215, 2.183
2.080, 1.561, 0.826, 1.217, 2.144
2.090, 1.573, 0.823, 1.212, 2.149
2.100, 1.55, 0.819, 1.252, 2.154
2.110, 1.543, 0.818, 1.21, 2.124
2.120, 1.537, 0.853, 1.221, 2.140
2.130, 1.522, 0.811, 1.199, 2.100
2.140, 1.542, 0.849, 1.159, 2.107
2.150, 1.477, 0.845, 1.15, 2.053
2.160, 1.533, 0.861, 1.224, 2.142
2.170, 1.524, 0.847, 1.232, 2.134
2.180, 1.58, 0.805, 1.208, 2.145
2.190, 1.618, 0.834, 1.245, 2.205
2.200, 1.515, 0.798, 1.226, 2.105
2.210, 1.47, 0.819, 1.263, 2.104
2.220, 1.507, 0.841, 1.182, 2.091
2.230, 1.517, 0.829, 1.226, 2.119
2.240, 1.573, 0.833, 1.207, 2.150
2.250, 1.556, 0.814, 1.222, 2.139
2.260, 1.567, 0.843, 1.245, 2.171
2.270, 1.571, 0.852, 1.276, 2.195
2.280, 1.645, 0.86, 1.255, 2.240
2.290, 1.527, 0.842, 1.207, 2.120
2.300, 1.545, 0.83, 1.162, 2.103
2.310, 1.549, 0.829, 1.178, 2.115
2.320, 1.623, 0.839, 1.245, 2.210
2.330, 1.568, 0.815, 1.239, 2.158
2.340, 1.564, 0.834, 1.249, 2.168
2.350, 1.505, 0.826, 1.169, 2.076
2.360, 1.588, 0.836, 1.282, 2.205
2.370, 1.552, 0.824, 1.219, 2.138
2.380, 1.552, 0.83, 1.214, 2.138
2.390, 1.589, 0.815, 1.234, 2.170
2.400, 1.572, 0.836, 1.245, 2.172
2.410, 1.519, 0.823, 1.184, 2.094
2.420, 1.512, 0.84, 1.199, 2.104
